Name,Color
AF,red
CN,yellow
IR,yellow
PK,green
TJ,green
TM,green
UZ,yellow
BT,red
HK,red
IN,lightblue
KZ,red
KP,red
KG,lightblue
LA,red
MO,red
MN,red
MM,green
NP,red
RU,green
VN,green
AM,red
AZ,lightblue
IQ,red
TR,green
BD,red
KR,yellow
KH,yellow
TH,lightblue
BY,red
EE,red
FI,red
GE,yellow
LV,yellow
LT,lightblue
NO,yellow
PL,yellow
UA,lightblue
JO,yellow
KW,yellow
SA,green
SY,lightblue
BG,red
GR,yellow
MY,red
SE,green
CZ,red
DE,green
SK,green
HU,red
MD,red
RO,yellow
IL,red
PS,green
OM,red
QA,red
AE,yellow
YE,yellow
LB,yellow
MK,green
RS,lightblue
AL,red
BN,yellow
ID,yellow
AT,yellow
BE,red
DK,red
FR,yellow
LU,lightblue
NL,yellow
CH,red
HR,yellow
SI,green
EG,yellow
BA,red
ME,green
PG,red
TL,red
IT,lightblue
LI,green
AD,red
MC,red
ES,green
LY,red
SD,green
SM,red
VA,red
GI,red
MA,red
PT,red
DZ,yellow
TD,yellow
NE,green
TN,green
CF,red
ET,red
ER,yellow
SS,yellow
EH,green
ML,red
MR,lightblue
CM,green
NG,red
BJ,yellow
BF,lightblue
CG,yellow
CD,green
DJ,green
KE,green
SO,yellow
UG,red
CI,yellow
GN,green
SN,yellow
GQ,red
GA,lightblue
TG,red
GH,green
AO,red
BI,red
RW,yellow
TZ,lightblue
ZM,yellow
LR,red
GW,red
SL,yellow
GM,red
NA,green
MW,red
MZ,green
BW,red
ZW,lightblue
ZA,yellow
SZ,red
LS,red
CK,red
BM,red
NR,red
RE,red
TC,red
GY,red
BR,yellow
SR,green
VE,green
AR,red
BO,green
CO,red
GF,red
PY,lightblue
PE,lightblue
UY,green
CL,yellow
EC,yellow
PA,yellow
CR,red
NI,yellow
HN,red
SV,yellow
GT,green
BZ,red
MX,yellow
US,red
CA,yellow
VI,red
YT,red
NZ,red
MT,red
GP,red
TW,red
SB,red
KY,red
SH,red
FJ,red
CV,red
DM,red
HT,red
DO,yellow
VG,red
GB,red
IE,yellow
GL,red
SJ,red
BV,red
PF,red
MP,red
BH,red
TK,red
MH,red
AX,red
CU,red
FM,red
GG,red
MQ,red
WF,red
MS,red
PM,red
JM,red
PW,red
PH,red
NU,red
FO,red
MV,red
PR,red
SX,red
MF,yellow
TO,red
TT,red
CY,red
KN,red
TV,red
LC,red
KM,red
IM,red
BL,red
SG,red
MG,red
BQ,red
CX,red
BB,red
MU,red
AQ,red
VU,red
SC,red
NF,red
CW,red
AG,red
GS,red
TF,red
FK,red
IS,red
NC,red
KI,red
UM,red
ST,red
GU,red
AW,red
HM,red
LK,red
GD,red
AS,red
AU,red
CC,red
PN,red
JE,red
JP,red
IO,red
AI,red
VC,red
BS,red
WS,red
